provider,model,trial,question,raw_text,extracted_answer,temperature
openai,gpt-3.5-turbo-0125,0,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,1,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,2,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,3,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,4,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,5,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,6,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,7,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,8,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,9,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,10,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,11,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,12,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,13,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,14,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,15,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,16,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,17,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,18,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,19,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,20,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,21,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,22,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,23,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,24,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,25,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,26,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,27,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,28,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,29,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,30,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,31,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,32,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,33,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,34,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,35,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,36,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,37,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,38,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,39,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,40,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,41,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,42,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,43,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,44,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,45,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,46,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,47,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,48,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,49,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,50,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,51,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,52,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,53,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,54,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,55,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,56,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,57,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,58,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,59,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,60,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,61,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,62,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,63,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,64,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,65,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,66,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,67,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,68,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,69,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,70,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,71,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,72,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,73,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,74,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,75,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,76,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,77,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,78,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,79,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,80,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,81,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,82,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,83,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,84,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,85,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,86,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,87,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,88,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,89,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,90,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,91,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,92,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,93,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,94,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,95,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,96,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,97,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
openai,gpt-3.5-turbo-0125,98,Are 'roller skates' a 'vehicle'?,"No, roller",No,0.0
