provider,model,prompt_variation,temperature,raw_text,extracted_answer,is_yes,timestamp
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531127.885934
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531129.292824
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531130.799126
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531131.4347022
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531132.552992
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531132.976701
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531133.626063
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531135.390448
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531135.9650471
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531136.9108841
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531138.591868
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531139.0160792
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531140.005964
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531140.9849641
openai,gpt-3.5-turbo-0125,normal,0.0,Yes,Yes,1,1756531141.70349
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531142.214665
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531142.908691
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531143.4824362
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531144.591035
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531145.040938
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531145.570508
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531146.235629
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531147.0030642
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531147.695161
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531148.1685052
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531148.6457212
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531149.177717
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531149.736046
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531150.761461
openai,gpt-3.5-turbo-0125,normal,0.5,Yes,Yes,1,1756531151.185652
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531151.728163
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531152.259739
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531154.262486
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531154.693053
openai,gpt-3.5-turbo-0125,normal,1.0,Yes.,Yes,1,1756531155.4763
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531156.203933
openai,gpt-3.5-turbo-0125,normal,1.0,No,No,0,1756531156.826349
openai,gpt-3.5-turbo-0125,normal,1.0,Yes.,Yes,1,1756531157.640287
openai,gpt-3.5-turbo-0125,normal,1.0,Yes.,Yes,1,1756531158.170379
openai,gpt-3.5-turbo-0125,normal,1.0,Yes.,Yes,1,1756531159.168284
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531159.666358
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531160.1708531
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531160.595275
openai,gpt-3.5-turbo-0125,normal,1.0,Yes,Yes,1,1756531161.1700292
openai,gpt-3.5-turbo-0125,normal,1.0,Yes.,Yes,1,1756531161.676629
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531162.653499
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531163.323903
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531163.9093509
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531164.542364
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531166.185528
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531167.127671
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531167.7460768
