provider,model,trial,question,raw_text,extracted_answer,temperature
openai,gpt-3.5-turbo-0125,0,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,1,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,2,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,3,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,4,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,It depends on,Unknown,0.5
openai,gpt-3.5-turbo-0125,5,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,6,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,7,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,In most jurisdictions,Unknown,0.5
openai,gpt-3.5-turbo-0125,8,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,It depends on,Unknown,0.5
openai,gpt-3.5-turbo-0125,9,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,10,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,11,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,12,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,It would depend,Unknown,0.5
openai,gpt-3.5-turbo-0125,13,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,14,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,15,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,16,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,It depends on,Unknown,0.5
openai,gpt-3.5-turbo-0125,17,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,18,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,19,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,Transporting a,Unknown,0.5
openai,gpt-3.5-turbo-0125,20,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,21,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
openai,gpt-3.5-turbo-0125,22,Does transporting a firearm in a briefcase constitute 'carrying' a firearm?,"Yes, transporting",Yes,0.5
