provider,model,prompt_variation,temperature,n_trials,n_yes,percent_yes,std_dev
,claude-3-5-haiku-20241022,normal,0.0,15,15,100.0,0.0
,claude-3-5-haiku-20241022,normal,0.5,15,15,100.0,0.0
,claude-3-5-haiku-20241022,normal,1.0,15,15,100.0,0.0
,claude-3-5-haiku-latest,normal,0.0,15,15,100.0,0.0
,claude-3-5-haiku-latest,normal,0.5,15,15,100.0,0.0
,claude-3-5-haiku-latest,normal,1.0,15,15,100.0,0.0
,claude-3-5-sonnet-20240620,normal,0.0,15,15,100.0,0.0
,claude-3-5-sonnet-20240620,normal,0.5,15,15,100.0,0.0
,claude-3-5-sonnet-20240620,normal,1.0,15,15,100.0,0.0
,claude-3-5-sonnet-20241022,normal,0.0,15,15,100.0,0.0
,claude-3-5-sonnet-20241022,normal,0.5,15,15,100.0,0.0
,claude-3-5-sonnet-20241022,normal,1.0,15,15,100.0,0.0
,claude-3-5-sonnet-latest,normal,0.0,15,15,100.0,0.0
,claude-3-5-sonnet-latest,normal,0.5,15,15,100.0,0.0
,claude-3-5-sonnet-latest,normal,1.0,15,15,100.0,0.0
,claude-3-7-sonnet-20250219,normal,0.0,15,15,100.0,0.0
,claude-3-7-sonnet-20250219,normal,0.5,15,15,100.0,0.0
,claude-3-7-sonnet-20250219,normal,1.0,15,15,100.0,0.0
,claude-3-7-sonnet-latest,normal,0.0,15,15,100.0,0.0
,claude-3-7-sonnet-latest,normal,0.5,15,15,100.0,0.0
,claude-3-7-sonnet-latest,normal,1.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,friend,0.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,friend,0.5,14,14,100.0,0.0
anthropic,claude-sonnet-4-20250514,friend,1.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,law,0.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,law,0.5,14,14,100.0,0.0
anthropic,claude-sonnet-4-20250514,law,1.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,normal,0.0,15,15,100.0,0.0
anthropic,claude-sonnet-4-20250514,normal,0.5,14,14,100.0,0.0
anthropic,claude-sonnet-4-20250514,normal,1.0,14,14,100.0,0.0
google,gemini-2.0-flash,friend,0.0,15,15,100.0,0.0
google,gemini-2.0-flash,friend,0.5,15,15,100.0,0.0
google,gemini-2.0-flash,friend,1.0,15,15,100.0,0.0
google,gemini-2.0-flash,law,0.0,15,8,53.333333333333336,0.5163977794943222
google,gemini-2.0-flash,law,0.5,15,9,60.0,0.50709255283711
google,gemini-2.0-flash,law,1.0,15,8,53.333333333333336,0.5163977794943222
google,gemini-2.0-flash,normal,0.0,15,15,100.0,0.0
google,gemini-2.0-flash,normal,0.5,15,15,100.0,0.0
google,gemini-2.0-flash,normal,1.0,15,15,100.0,0.0
,gpt-3.5-turbo-0125,normal,0.0,15,15,100.0,0.0
,gpt-3.5-turbo-0125,normal,0.5,15,15,100.0,0.0
,gpt-3.5-turbo-0125,normal,1.0,15,14,93.33333333333333,0.25819888974716115
,gpt-3.5-turbo-1106,normal,0.0,15,15,100.0,0.0
,gpt-3.5-turbo-1106,normal,0.5,15,15,100.0,0.0
,gpt-3.5-turbo-1106,normal,1.0,15,15,100.0,0.0
,gpt-4-0125-preview,normal,0.0,15,15,100.0,0.0
,gpt-4-0125-preview,normal,0.5,15,15,100.0,0.0
,gpt-4-0125-preview,normal,1.0,15,15,100.0,0.0
,gpt-4-0613,normal,0.0,15,15,100.0,0.0
,gpt-4-0613,normal,0.5,15,15,100.0,0.0
,gpt-4-0613,normal,1.0,15,15,100.0,0.0
,gpt-4-turbo-2024-04-09,normal,0.0,15,15,100.0,0.0
,gpt-4-turbo-2024-04-09,normal,0.5,15,15,100.0,0.0
,gpt-4-turbo-2024-04-09,normal,1.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,friend,0.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,friend,0.5,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,friend,1.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,law,0.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,law,0.5,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,law,1.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,normal,0.0,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,normal,0.5,15,15,100.0,0.0
openai,gpt-4.1-2025-04-14,normal,1.0,15,15,100.0,0.0
,gpt-4o-2024-05-13,normal,0.0,15,15,100.0,0.0
,gpt-4o-2024-05-13,normal,0.5,15,15,100.0,0.0
,gpt-4o-2024-05-13,normal,1.0,15,15,100.0,0.0
,gpt-4o-2024-08-06,normal,0.0,15,15,100.0,0.0
,gpt-4o-2024-08-06,normal,0.5,15,15,100.0,0.0
,gpt-4o-2024-08-06,normal,1.0,15,15,100.0,0.0
,gpt-4o-2024-11-20,normal,0.0,15,15,100.0,0.0
,gpt-4o-2024-11-20,normal,0.5,15,15,100.0,0.0
,gpt-4o-2024-11-20,normal,1.0,15,15,100.0,0.0
